id;localidad;codigo_postal;nombre;modalidad;categoria;tipo_via;via;numero;telefono;email;web;ubicacion
1;Aín;12222;MOLI DEL DUC;R;2;C;DE L'AIGUA;11;964629064;info@molidelduc.es;http://www.molidelduc.es;39.90966000000003, -0.339261590999967
7;Albocàsser;12140;CASA SALES;R;2;C;TRAS LA IGLESIA;22;964428432;info@turistrat.es;www.turistrat.es;40.38227065700005, 0.019430000000056003
17;Alcudia de Veo;12222;ALMAZARA VEO;R;1;C;ENMEDIO;32;615538003;info@casaruralalmazaradeveo.com;;39.91857259000005, -0.34003084999994804
18;Alcudia de Veo;12222;CASA BENITANDUS-44;R;2;C;Benitandus;44;655936106;jfranchcabedo@gmail.com / rose69am@gmail.com;http://benitandus.com;39.91857259000005, -0.34003084999994804
21;Algimia de Almonacid;12414;LA CASITA DE LAS ESTRELLAS;R;2;C;Carcabo;18;964139400;info@lacasitadelasestrellas.com;lacasitadelasestrellas.com;39.909575000000075, -0.43718342499994306
24;Altura;12410;MASIA SAN JUAN-CASA 12;R;2;PD;MASIA SAN JUAN;;964132087;masiasanjuan@terra.es;http://www.masiadesanjuan.com;39.80756000000008, -0.583308131999956
27;Altura;12410;MASIA SAN JUAN-CASA 6;R;2;PD;MASIA SAN JUAN;;964132087;masiasanjuan@terra.es;http://www.masiadesanjuan.com;39.80756000000008, -0.583308131999956
32;Ares del Maestrat;12165;CASA COLL D'ARES I;R;2;C;COLL D'ARES;1;639551172;;;40.43918000000008, -0.11503567599993401
33;Ares del Maestrat;12165;CASA ARES;R;2;C;PEGUESA;27;660950792;;;40.43918000000008, -0.11503567599993401
35;Ares del Maestrat;12165;CASA CONCHA I;R;2;C;VIOLETA;16;639579271;conchaares@hotmail.com;;40.43918000000008, -0.11503567599993401
37;Ares del Maestrat;12165;CASA DEL CASTELL;R;2;;MASIA MONTALBANA;;639579271;conchaares@hotmail.com;;40.43918000000008, -0.11503567599993401
40;Ares del Maestrat;12165;MAS BLANC I;R;2;PD;MAS BLANC;SN;687518424;aropor@gmail.com;;40.43918000000008, -0.11503567599993401
48;Atzeneta del Maestrat;12132;MAS DELS CANALISOS;R;2;PD;Meanes;s/n;606568041;juanalfonsomontolio@gmail.com;;40.22622000000007, -0.18521786399998003
56;Benafer;12449;TORRE BUENA VISTA;R;2;C;ERAS SANZ;10;675029889;mtmcb@hotmail.com;;39.964573976000054, -0.604995865999967
57;Benassal;12160;CASA ELODIA;R;2;C;TORRENTILL;49;639551172;;;40.39140500000008, -0.17551575999993901
66;Benassal;12160;MONFERRER;R;2;PD;SERRADES;;964428432;info@turistrat.es;www.turistrat.es;40.39140500000008, -0.17551575999993901
67;Benassal;12160;VILLA ANGELES I;R;2;AV;DR. PUIGVERT;s/n-b;964209900;;;40.39140500000008, -0.17551575999993901
72;Benlloch;12181;CASA DANIEL;R;2;C;CASTELL DE MIRAVET;17;649849201;;;40.21528500000005, 0.019946901000025
73;Borriol;12190;LAS BOVEDAS;R;2;C;XIMEN PEREZ D`ARENOS;11;619196751;gresbabiloni@grupobdb.com;;40.05346000000003, -0.06537918299994701
75;Cabanes;12180;CASA ILDUM PLAZA;R;2;PL;IGLESIA;2;608284815;ildumplaza@gmail.com;http://www.ildumplaza.com/;40.14062500000006, 0.074784770000064
77;Cabanes;12180;CASA VARISTO;R;2;C;CARMEN;19;659048837;varisto@castelloninterior.com;http://www.castelloninterior.com;40.14062500000006, 0.074784770000064
78;Cabanes;12180;EL FORN DE SITJAR;R;4;C;Carmen;21;609147938;fornsitjar.casarural@gmail.com;http://www.elforncasarural.com;40.14062500000006, 0.074784770000064
81;Castell de Cabres;12319;CASA EL CUARTEL;R;2;C;CALLEJON PLAZA DE LA IGLESIA;23;977729018;;;40.66743500000007, 0.047877656000025005
