Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-23,12-08-2022,Osasuna,Sevilla,2,1,H,1,1,D
2022-23,13-08-2022,Celta,Espanol,2,2,D,1,0,H
2022-23,13-08-2022,Valladolid,Villarreal,0,3,A,0,0,D
2022-23,13-08-2022,Barcelona,Vallecano,0,0,D,0,0,D
2022-23,14-08-2022,Cadiz,Sociedad,0,1,A,0,1,A
2022-23,14-08-2022,Valencia,Girona,1,0,H,1,0,H
2022-23,14-08-2022,Almeria,Real Madrid,1,2,A,1,0,H
2022-23,15-08-2022,Ath Bilbao,Mallorca,0,0,D,0,0,D
2022-23,15-08-2022,Getafe,Ath Madrid,0,3,A,0,1,A
2022-23,15-08-2022,Betis,Elche,3,0,H,2,0,H
2022-23,19-08-2022,Espanol,Vallecano,0,2,A,0,1,A
2022-23,19-08-2022,Sevilla,Valladolid,1,1,D,0,0,D
2022-23,20-08-2022,Osasuna,Cadiz,2,0,H,1,0,H
2022-23,20-08-2022,Mallorca,Betis,1,2,A,0,1,A
2022-23,20-08-2022,Celta,Real Madrid,1,4,A,1,2,A
2022-23,21-08-2022,Ath Bilbao,Valencia,1,0,H,1,0,H
2022-23,21-08-2022,Ath Madrid,Villarreal,0,2,A,0,0,D
2022-23,21-08-2022,Sociedad,Barcelona,1,4,A,1,1,D
2022-23,22-08-2022,Elche,Almeria,1,1,D,1,1,D
2022-23,22-08-2022,Girona,Getafe,3,1,H,1,0,H
2022-23,26-08-2022,Girona,Celta,0,1,A,0,0,D
2022-23,26-08-2022,Betis,Osasuna,1,0,H,1,0,H
2022-23,27-08-2022,Elche,Sociedad,0,1,A,0,1,A
2022-23,27-08-2022,Vallecano,Mallorca,0,2,A,0,1,A
2022-23,27-08-2022,Almeria,Sevilla,2,1,H,1,1,D
2022-23,28-08-2022,Getafe,Villarreal,0,0,D,0,0,D
2022-23,28-08-2022,Barcelona,Valladolid,4,0,H,2,0,H
2022-23,28-08-2022,Espanol,Real Madrid,1,3,A,1,1,D
2022-23,29-08-2022,Cadiz,Ath Bilbao,0,4,A,0,1,A
2022-23,29-08-2022,Valencia,Ath Madrid,0,1,A,0,0,D
2022-23,02-09-2022,Celta,Cadiz,3,0,H,0,0,D
2022-23,03-09-2022,Mallorca,Girona,1,1,D,0,0,D
2022-23,03-09-2022,Real Madrid,Betis,2,1,H,1,1,D
2022-23,03-09-2022,Sociedad,Ath Madrid,1,1,D,0,1,A
2022-23,03-09-2022,Sevilla,Barcelona,0,3,A,0,2,A
2022-23,04-09-2022,Osasuna,Vallecano,2,1,H,0,0,D
2022-23,04-09-2022,Ath Bilbao,Espanol,0,1,A,0,0,D
2022-23,04-09-2022,Villarreal,Elche,4,0,H,2,0,H
2022-23,04-09-2022,Valencia,Getafe,5,1,H,3,0,H
2022-23,05-09-2022,Valladolid,Almeria,1,0,H,0,0,D
2022-23,09-09-2022,Girona,Valladolid,2,1,H,1,1,D
2022-23,10-09-2022,Vallecano,Valencia,2,1,H,1,0,H
2022-23,10-09-2022,Espanol,Sevilla,2,3,A,1,3,A
2022-23,10-09-2022,Cadiz,Barcelona,0,4,A,0,0,D
2022-23,10-09-2022,Ath Madrid,Celta,4,1,H,1,0,H
2022-23,11-09-2022,Real Madrid,Mallorca,4,1,H,1,1,D
2022-23,11-09-2022,Elche,Ath Bilbao,1,4,A,0,4,A
2022-23,11-09-2022,Getafe,Sociedad,2,1,H,1,0,H
2022-23,11-09-2022,Betis,Villarreal,1,0,H,0,0,D
2022-23,12-09-2022,Almeria,Osasuna,0,1,A,0,1,A
2022-23,16-09-2022,Valladolid,Cadiz,0,1,A,0,0,D
2022-23,17-09-2022,Mallorca,Almeria,1,0,H,1,0,H
2022-23,17-09-2022,Barcelona,Elche,3,0,H,2,0,H
2022-23,17-09-2022,Valencia,Celta,3,0,H,1,0,H
2022-23,17-09-2022,Ath Bilbao,Vallecano,3,2,H,3,1,H
2022-23,18-09-2022,Osasuna,Getafe,0,2,A,0,1,A
2022-23,18-09-2022,Villarreal,Sevilla,1,1,D,0,1,A
2022-23,18-09-2022,Betis,Girona,2,1,H,1,1,D
2022-23,18-09-2022,Sociedad,Espanol,2,1,H,2,1,H
2022-23,18-09-2022,Ath Madrid,Real Madrid,1,2,A,0,2,A
2022-23,30-09-2022,Ath Bilbao,Almeria,4,0,H,2,0,H
2022-23,01-10-2022,Cadiz,Villarreal,0,0,D,0,0,D
2022-23,01-10-2022,Getafe,Valladolid,2,3,A,2,2,D
2022-23,01-10-2022,Sevilla,Ath Madrid,0,2,A,0,1,A
2022-23,01-10-2022,Mallorca,Barcelona,0,1,A,0,1,A
2022-23,02-10-2022,Espanol,Valencia,2,2,D,0,0,D
2022-23,02-10-2022,Celta,Betis,1,0,H,1,0,H
2022-23,02-10-2022,Girona,Sociedad,3,5,A,2,2,D
2022-23,02-10-2022,Real Madrid,Osasuna,1,1,D,1,0,H
2022-23,03-10-2022,Vallecano,Elche,2,1,H,1,1,D
2022-23,07-10-2022,Osasuna,Valencia,1,2,A,0,1,A
2022-23,08-10-2022,Almeria,Vallecano,3,1,H,3,0,H
2022-23,08-10-2022,Ath Madrid,Girona,2,1,H,1,0,H
2022-23,08-10-2022,Sevilla,Ath Bilbao,1,1,D,1,0,H
2022-23,08-10-2022,Getafe,Real Madrid,0,1,A,0,1,A
2022-23,09-10-2022,Valladolid,Betis,0,0,D,0,0,D
2022-23,09-10-2022,Cadiz,Espanol,2,2,D,1,0,H
2022-23,09-10-2022,Sociedad,Villarreal,1,0,H,1,0,H
2022-23,09-10-2022,Barcelona,Celta,1,0,H,1,0,H
2022-23,10-10-2022,Elche,Mallorca,1,1,D,1,0,H
2022-23,14-10-2022,Vallecano,Getafe,0,0,D,0,0,D
2022-23,15-10-2022,Girona,Cadiz,1,1,D,0,0,D
2022-23,15-10-2022,Valencia,Elche,2,2,D,2,1,H
2022-23,15-10-2022,Mallorca,Sevilla,0,1,A,0,0,D
2022-23,15-10-2022,Ath Bilbao,Ath Madrid,0,1,A,0,0,D
2022-23,16-10-2022,Celta,Sociedad,1,2,A,1,1,D
2022-23,16-10-2022,Real Madrid,Barcelona,3,1,H,2,0,H
2022-23,16-10-2022,Espanol,Valladolid,1,0,H,0,0,D
2022-23,16-10-2022,Betis,Almeria,3,1,H,1,0,H
2022-23,17-10-2022,Villarreal,Osasuna,2,0,H,1,0,H
2022-23,18-10-2022,Sevilla,Valencia,1,1,D,0,1,A
2022-23,18-10-2022,Getafe,Ath Bilbao,2,2,D,1,1,D
2022-23,18-10-2022,Ath Madrid,Vallecano,1,1,D,1,0,H
2022-23,19-10-2022,Cadiz,Betis,0,0,D,0,0,D
2022-23,19-10-2022,Valladolid,Celta,4,1,H,1,1,D
2022-23,19-10-2022,Sociedad,Mallorca,1,0,H,1,0,H
2022-23,19-10-2022,Elche,Real Madrid,0,3,A,0,1,A
2022-23,20-10-2022,Almeria,Girona,3,2,H,3,0,H
2022-23,20-10-2022,Osasuna,Espanol,1,0,H,0,0,D
2022-23,20-10-2022,Barcelona,Villarreal,3,0,H,3,0,H
2022-23,22-10-2022,Vallecano,Cadiz,5,1,H,2,0,H
2022-23,22-10-2022,Valladolid,Sociedad,1,0,H,1,0,H
2022-23,22-10-2022,Valencia,Mallorca,1,2,A,0,0,D
2022-23,22-10-2022,Real Madrid,Sevilla,3,1,H,1,0,H
2022-23,23-10-2022,Espanol,Elche,2,2,D,1,1,D
2022-23,23-10-2022,Betis,Ath Madrid,1,2,A,0,0,D
2022-23,23-10-2022,Girona,Osasuna,1,1,D,1,1,D
2022-23,23-10-2022,Villarreal,Almeria,2,1,H,0,1,A
2022-23,23-10-2022,Barcelona,Ath Bilbao,4,0,H,3,0,H
2022-23,24-10-2022,Celta,Getafe,1,1,D,0,1,A
2022-23,28-10-2022,Mallorca,Espanol,1,1,D,0,0,D
2022-23,29-10-2022,Almeria,Celta,3,1,H,0,1,A
2022-23,29-10-2022,Cadiz,Ath Madrid,3,2,H,1,0,H
2022-23,29-10-2022,Sevilla,Vallecano,0,1,A,0,0,D
2022-23,29-10-2022,Valencia,Barcelona,0,1,A,0,0,D
2022-23,30-10-2022,Osasuna,Valladolid,2,0,H,2,0,H
2022-23,30-10-2022,Real Madrid,Girona,1,1,D,0,0,D
2022-23,30-10-2022,Ath Bilbao,Villarreal,1,0,H,0,0,D
2022-23,30-10-2022,Sociedad,Betis,0,2,A,0,0,D
2022-23,31-10-2022,Elche,Getafe,0,1,A,0,0,D
2022-23,04-11-2022,Girona,Ath Bilbao,2,1,H,0,0,D
2022-23,05-11-2022,Getafe,Cadiz,0,0,D,0,0,D
2022-23,05-11-2022,Valladolid,Elche,2,1,H,1,0,H
2022-23,05-11-2022,Celta,Osasuna,1,2,A,1,2,A
2022-23,05-11-2022,Barcelona,Almeria,2,0,H,0,0,D
2022-23,06-11-2022,Ath Madrid,Espanol,1,1,D,0,0,D
2022-23,06-11-2022,Sociedad,Valencia,1,1,D,1,1,D
2022-23,06-11-2022,Villarreal,Mallorca,0,2,A,0,1,A
2022-23,06-11-2022,Betis,Sevilla,1,1,D,1,0,H
2022-23,07-11-2022,Vallecano,Real Madrid,3,2,H,2,2,D
2022-23,08-11-2022,Elche,Girona,1,2,A,1,1,D
2022-23,08-11-2022,Ath Bilbao,Valladolid,3,0,H,1,0,H
2022-23,08-11-2022,Osasuna,Barcelona,1,2,A,1,0,H
2022-23,09-11-2022,Almeria,Getafe,1,0,H,1,0,H
2022-23,09-11-2022,Sevilla,Sociedad,1,2,A,1,2,A
2022-23,09-11-2022,Espanol,Villarreal,0,1,A,0,0,D
2022-23,09-11-2022,Mallorca,Ath Madrid,1,0,H,1,0,H
2022-23,10-11-2022,Vallecano,Celta,0,0,D,0,0,D
2022-23,10-11-2022,Valencia,Betis,3,0,H,0,0,D
2022-23,10-11-2022,Real Madrid,Cadiz,2,1,H,1,0,H
2022-23,29-12-2022,Girona,Vallecano,2,2,D,1,1,D
2022-23,29-12-2022,Betis,Ath Bilbao,0,0,D,0,0,D
2022-23,29-12-2022,Ath Madrid,Elche,2,0,H,0,0,D
2022-23,30-12-2022,Getafe,Mallorca,2,0,H,0,0,D
2022-23,30-12-2022,Cadiz,Almeria,1,1,D,0,1,A
2022-23,30-12-2022,Celta,Sevilla,1,1,D,1,0,H
2022-23,30-12-2022,Valladolid,Real Madrid,0,2,A,0,0,D
2022-23,31-12-2022,Barcelona,Espanol,1,1,D,1,0,H
2022-23,31-12-2022,Sociedad,Osasuna,2,0,H,1,0,H
2022-23,31-12-2022,Villarreal,Valencia,2,1,H,1,1,D
2022-23,06-01-2023,Elche,Celta,0,1,A,0,1,A
2022-23,06-01-2023,Valencia,Cadiz,0,1,A,0,1,A
2022-23,07-01-2023,Villarreal,Real Madrid,2,1,H,0,0,D
